,CF wind
01/01/2019 00:00,0.907
01/01/2019 01:00,0.932
01/01/2019 02:00,0.95
01/01/2019 03:00,0.966
01/01/2019 04:00,0.978
01/01/2019 05:00,0.985
01/01/2019 06:00,0.986
01/01/2019 07:00,0.987
01/01/2019 08:00,0.987
01/01/2019 09:00,0.987
01/01/2019 10:00,0.987
01/01/2019 11:00,0.986
01/01/2019 12:00,0.986
01/01/2019 13:00,0.985
01/01/2019 14:00,0.986
01/01/2019 15:00,0.987
01/01/2019 16:00,0.982
01/01/2019 17:00,0.97
01/01/2019 18:00,0.955
01/01/2019 19:00,0.945
01/01/2019 20:00,0.938
01/01/2019 21:00,0.931
01/01/2019 22:00,0.924
01/01/2019 23:00,0.914
02/01/2019 00:00,0.894
02/01/2019 01:00,0.875
02/01/2019 02:00,0.855
02/01/2019 03:00,0.849
02/01/2019 04:00,0.82
02/01/2019 05:00,0.779
02/01/2019 06:00,0.728
02/01/2019 07:00,0.654
02/01/2019 08:00,0.595
02/01/2019 09:00,0.494
02/01/2019 10:00,0.401
02/01/2019 11:00,0.357
02/01/2019 12:00,0.327
02/01/2019 13:00,0.323
02/01/2019 14:00,0.32
02/01/2019 15:00,0.281
02/01/2019 16:00,0.219
02/01/2019 17:00,0.158
02/01/2019 18:00,0.112
02/01/2019 19:00,0.081
02/01/2019 20:00,0.065
02/01/2019 21:00,0.072
02/01/2019 22:00,0.096
02/01/2019 23:00,0.129
03/01/2019 00:00,0.156
03/01/2019 01:00,0.163
03/01/2019 02:00,0.16
03/01/2019 03:00,0.155
03/01/2019 04:00,0.149
03/01/2019 05:00,0.148
03/01/2019 06:00,0.147
03/01/2019 07:00,0.144
03/01/2019 08:00,0.143
03/01/2019 09:00,0.145
03/01/2019 10:00,0.131
03/01/2019 11:00,0.119
03/01/2019 12:00,0.141
03/01/2019 13:00,0.195
03/01/2019 14:00,0.248
03/01/2019 15:00,0.267
03/01/2019 16:00,0.307
03/01/2019 17:00,0.399
03/01/2019 18:00,0.475
03/01/2019 19:00,0.51
03/01/2019 20:00,0.544
03/01/2019 21:00,0.589
03/01/2019 22:00,0.617
03/01/2019 23:00,0.62
04/01/2019 00:00,0.619
04/01/2019 01:00,0.624
04/01/2019 02:00,0.649
04/01/2019 03:00,0.631
04/01/2019 04:00,0.618
04/01/2019 05:00,0.619
04/01/2019 06:00,0.62
04/01/2019 07:00,0.612
04/01/2019 08:00,0.603
04/01/2019 09:00,0.578
04/01/2019 10:00,0.597
04/01/2019 11:00,0.66
04/01/2019 12:00,0.721
04/01/2019 13:00,0.769
04/01/2019 14:00,0.788
04/01/2019 15:00,0.814
04/01/2019 16:00,0.813
04/01/2019 17:00,0.814
04/01/2019 18:00,0.81
04/01/2019 19:00,0.809
04/01/2019 20:00,0.806
04/01/2019 21:00,0.81
04/01/2019 22:00,0.808
04/01/2019 23:00,0.795
05/01/2019 00:00,0.761
05/01/2019 01:00,0.738
05/01/2019 02:00,0.694
05/01/2019 03:00,0.617
05/01/2019 04:00,0.557
05/01/2019 05:00,0.502
05/01/2019 06:00,0.426
05/01/2019 07:00,0.378
05/01/2019 08:00,0.331
05/01/2019 09:00,0.223
05/01/2019 10:00,0.114
05/01/2019 11:00,0.051
05/01/2019 12:00,0.03
05/01/2019 13:00,0.026
05/01/2019 14:00,0.028
05/01/2019 15:00,0.035
05/01/2019 16:00,0.038
05/01/2019 17:00,0.036
05/01/2019 18:00,0.033
05/01/2019 19:00,0.028
05/01/2019 20:00,0.024
05/01/2019 21:00,0.022
05/01/2019 22:00,0.021
05/01/2019 23:00,0.019
06/01/2019 00:00,0.018
06/01/2019 01:00,0.017
06/01/2019 02:00,0.021
06/01/2019 03:00,0.029
06/01/2019 04:00,0.038
06/01/2019 05:00,0.047
06/01/2019 06:00,0.058
06/01/2019 07:00,0.075
06/01/2019 08:00,0.104
06/01/2019 09:00,0.136
06/01/2019 10:00,0.149
06/01/2019 11:00,0.161
06/01/2019 12:00,0.197
06/01/2019 13:00,0.26
06/01/2019 14:00,0.329
06/01/2019 15:00,0.379
06/01/2019 16:00,0.362
06/01/2019 17:00,0.307
06/01/2019 18:00,0.326
06/01/2019 19:00,0.357
06/01/2019 20:00,0.342
06/01/2019 21:00,0.31
06/01/2019 22:00,0.279
06/01/2019 23:00,0.249
07/01/2019 00:00,0.256
07/01/2019 01:00,0.256
07/01/2019 02:00,0.264
07/01/2019 03:00,0.276
07/01/2019 04:00,0.289
07/01/2019 05:00,0.305
07/01/2019 06:00,0.342
07/01/2019 07:00,0.359
07/01/2019 08:00,0.362
07/01/2019 09:00,0.35
07/01/2019 10:00,0.344
07/01/2019 11:00,0.364
07/01/2019 12:00,0.408
07/01/2019 13:00,0.514
07/01/2019 14:00,0.629
07/01/2019 15:00,0.633
07/01/2019 16:00,0.645
07/01/2019 17:00,0.758
07/01/2019 18:00,0.74
