# Renewables.ninja Wind power (Point API) - 56.636, 8.984 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Paris, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Paris", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": "true", "header": "true", "lat": "56.63643990791109", "lon": "8.9844436799223", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "height": "82", "turbine": "Vestas V136 3450", "raw": "true"}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 01:00,0.978,15.961
2019-01-01 01:00,2019-01-01 02:00,0.961,16.754
2019-01-01 02:00,2019-01-01 03:00,0.938,17.428
2019-01-01 03:00,2019-01-01 04:00,0.889,18.367
2019-01-01 04:00,2019-01-01 05:00,0.816,19.318
2019-01-01 05:00,2019-01-01 06:00,0.738,20.098
2019-01-01 06:00,2019-01-01 07:00,0.720,20.258
2019-01-01 07:00,2019-01-01 08:00,0.663,20.752
2019-01-01 08:00,2019-01-01 09:00,0.624,21.069
2019-01-01 09:00,2019-01-01 10:00,0.611,21.169
2019-01-01 10:00,2019-01-01 11:00,0.615,21.136
2019-01-01 11:00,2019-01-01 12:00,0.601,21.250
2019-01-01 12:00,2019-01-01 13:00,0.580,21.409
2019-01-01 13:00,2019-01-01 14:00,0.554,21.607
2019-01-01 14:00,2019-01-01 15:00,0.591,21.321
2019-01-01 15:00,2019-01-01 16:00,0.692,20.506
2019-01-01 16:00,2019-01-01 17:00,0.811,19.377
2019-01-01 17:00,2019-01-01 18:00,0.892,18.312
2019-01-01 18:00,2019-01-01 19:00,0.934,17.532
2019-01-01 19:00,2019-01-01 20:00,0.949,17.157
2019-01-01 20:00,2019-01-01 21:00,0.959,16.847
2019-01-01 21:00,2019-01-01 22:00,0.966,16.558
2019-01-01 22:00,2019-01-01 23:00,0.971,16.331
2019-01-01 23:00,2019-01-02 00:00,0.977,16.035
2019-01-02 00:00,2019-01-02 01:00,0.983,15.486
2019-01-02 01:00,2019-01-02 02:00,0.985,15.037
2019-01-02 02:00,2019-01-02 03:00,0.985,14.616
2019-01-02 03:00,2019-01-02 04:00,0.984,14.401
2019-01-02 04:00,2019-01-02 05:00,0.980,13.883
2019-01-02 05:00,2019-01-02 06:00,0.972,13.254
2019-01-02 06:00,2019-01-02 07:00,0.958,12.564
2019-01-02 07:00,2019-01-02 08:00,0.933,11.718
2019-01-02 08:00,2019-01-02 09:00,0.906,11.086
2019-01-02 09:00,2019-01-02 10:00,0.851,10.204
2019-01-02 10:00,2019-01-02 11:00,0.781,9.413
2019-01-02 11:00,2019-01-02 12:00,0.738,9.011
2019-01-02 12:00,2019-01-02 13:00,0.696,8.682
2019-01-02 13:00,2019-01-02 14:00,0.680,8.558
2019-01-02 14:00,2019-01-02 15:00,0.664,8.435
2019-01-02 15:00,2019-01-02 16:00,0.601,7.994
2019-01-02 16:00,2019-01-02 17:00,0.492,7.288
2019-01-02 17:00,2019-01-02 18:00,0.373,6.528
2019-01-02 18:00,2019-01-02 19:00,0.273,5.832
2019-01-02 19:00,2019-01-02 20:00,0.199,5.242
2019-01-02 20:00,2019-01-02 21:00,0.161,4.888
2019-01-02 21:00,2019-01-02 22:00,0.177,5.032
2019-01-02 22:00,2019-01-02 23:00,0.236,5.541
2019-01-02 23:00,2019-01-03 00:00,0.313,6.121
2019-01-03 00:00,2019-01-03 01:00,0.374,6.538
2019-01-03 01:00,2019-01-03 02:00,0.388,6.626
2019-01-03 02:00,2019-01-03 03:00,0.382,6.578
2019-01-03 03:00,2019-01-03 04:00,0.363,6.456
2019-01-03 04:00,2019-01-03 05:00,0.347,6.348
2019-01-03 05:00,2019-01-03 06:00,0.341,6.313
2019-01-03 06:00,2019-01-03 07:00,0.341,6.315
2019-01-03 07:00,2019-01-03 08:00,0.337,6.289
2019-01-03 08:00,2019-01-03 09:00,0.337,6.287
2019-01-03 09:00,2019-01-03 10:00,0.345,6.334
2019-01-03 10:00,2019-01-03 11:00,0.319,6.163
2019-01-03 11:00,2019-01-03 12:00,0.296,6.002
2019-01-03 12:00,2019-01-03 13:00,0.352,6.388
2019-01-03 13:00,2019-01-03 14:00,0.467,7.129
2019-01-03 14:00,2019-01-03 15:00,0.563,7.739
2019-01-03 15:00,2019-01-03 16:00,0.591,7.926
2019-01-03 16:00,2019-01-03 17:00,0.654,8.364
2019-01-03 17:00,2019-01-03 18:00,0.765,9.254
2019-01-03 18:00,2019-01-03 19:00,0.833,9.961
2019-01-03 19:00,2019-01-03 20:00,0.859,10.311
2019-01-03 20:00,2019-01-03 21:00,0.883,10.677
2019-01-03 21:00,2019-01-03 22:00,0.908,11.127
2019-01-03 22:00,2019-01-03 23:00,0.922,11.436
2019-01-03 23:00,2019-01-04 00:00,0.925,11.518
2019-01-04 00:00,2019-01-04 01:00,0.926,11.524
2019-01-04 01:00,2019-01-04 02:00,0.928,11.581
2019-01-04 02:00,2019-01-04 03:00,0.938,11.845
2019-01-04 03:00,2019-01-04 04:00,0.930,11.627
2019-01-04 04:00,2019-01-04 05:00,0.924,11.485
2019-01-04 05:00,2019-01-04 06:00,0.925,11.494
2019-01-04 06:00,2019-01-04 07:00,0.925,11.502
2019-01-04 07:00,2019-01-04 08:00,0.920,11.391
2019-01-04 08:00,2019-01-04 09:00,0.915,11.267
2019-01-04 09:00,2019-01-04 10:00,0.904,11.053
2019-01-04 10:00,2019-01-04 11:00,0.918,11.327
2019-01-04 11:00,2019-01-04 12:00,0.941,11.963
2019-01-04 12:00,2019-01-04 13:00,0.960,12.626
2019-01-04 13:00,2019-01-04 14:00,0.971,13.164
2019-01-04 14:00,2019-01-04 15:00,0.975,13.413
2019-01-04 15:00,2019-01-04 16:00,0.979,13.774
2019-01-04 16:00,2019-01-04 17:00,0.979,13.774
2019-01-04 17:00,2019-01-04 18:00,0.979,13.786
2019-01-04 18:00,2019-01-04 19:00,0.979,13.751
2019-01-04 19:00,2019-01-04 20:00,0.979,13.764
2019-01-04 20:00,2019-01-04 21:00,0.979,13.735
2019-01-04 21:00,2019-01-04 22:00,0.980,13.827
2019-01-04 22:00,2019-01-04 23:00,0.979,13.785
2019-01-04 23:00,2019-01-05 00:00,0.978,13.644
2019-01-05 00:00,2019-01-05 01:00,0.970,13.122
2019-01-05 01:00,2019-01-05 02:00,0.964,12.809
2019-01-05 02:00,2019-01-05 03:00,0.952,12.299
2019-01-05 03:00,2019-01-05 04:00,0.925,11.489
2019-01-05 04:00,2019-01-05 05:00,0.897,10.897
2019-01-05 05:00,2019-01-05 06:00,0.864,10.376
2019-01-05 06:00,2019-01-05 07:00,0.804,9.642
2019-01-05 07:00,2019-01-05 08:00,0.747,9.104
2019-01-05 08:00,2019-01-05 09:00,0.671,8.487
2019-01-05 09:00,2019-01-05 10:00,0.492,7.284
2019-01-05 10:00,2019-01-05 11:00,0.268,5.791
2019-01-05 11:00,2019-01-05 12:00,0.123,4.483
2019-01-05 12:00,2019-01-05 13:00,0.072,3.808
2019-01-05 13:00,2019-01-05 14:00,0.064,3.666
2019-01-05 14:00,2019-01-05 15:00,0.072,3.796
2019-01-05 15:00,2019-01-05 16:00,0.089,4.054
2019-01-05 16:00,2019-01-05 17:00,0.098,4.172
2019-01-05 17:00,2019-01-05 18:00,0.097,4.152
2019-01-05 18:00,2019-01-05 19:00,0.089,4.051
2019-01-05 19:00,2019-01-05 20:00,0.079,3.904
2019-01-05 20:00,2019-01-05 21:00,0.070,3.767
2019-01-05 21:00,2019-01-05 22:00,0.065,3.691
2019-01-05 22:00,2019-01-05 23:00,0.062,3.634
2019-01-05 23:00,2019-01-06 00:00,0.058,3.567
2019-01-06 00:00,2019-01-06 01:00,0.054,3.495
2019-01-06 01:00,2019-01-06 02:00,0.053,3.464
2019-01-06 02:00,2019-01-06 03:00,0.063,3.640
2019-01-06 03:00,2019-01-06 04:00,0.084,3.967
2019-01-06 04:00,2019-01-06 05:00,0.105,4.269
2019-01-06 05:00,2019-01-06 06:00,0.129,4.543
2019-01-06 06:00,2019-01-06 07:00,0.154,4.815
2019-01-06 07:00,2019-01-06 08:00,0.196,5.202
2019-01-06 08:00,2019-01-06 09:00,0.265,5.772
2019-01-06 09:00,2019-01-06 10:00,0.335,6.272
2019-01-06 10:00,2019-01-06 11:00,0.369,6.492
2019-01-06 11:00,2019-01-06 12:00,0.402,6.708
2019-01-06 12:00,2019-01-06 13:00,0.481,7.219
