local_time,pv,wind
01/01/2019 00:00,0,0.85
01/01/2019 01:00,0,0.978
01/01/2019 02:00,0,0.961
01/01/2019 03:00,0,0.938
01/01/2019 04:00,0,0.889
01/01/2019 05:00,0,0.816
01/01/2019 06:00,0,0.738
01/01/2019 07:00,0,0.72
01/01/2019 08:00,0,0.663
01/01/2019 09:00,0.002,0.624
01/01/2019 10:00,0.053,0.611
01/01/2019 11:00,0.14,0.615
01/01/2019 12:00,0.15,0.601
01/01/2019 13:00,0.115,0.58
01/01/2019 14:00,0.054,0.554
01/01/2019 15:00,0,0.591
01/01/2019 16:00,0,0.692
01/01/2019 17:00,0,0.811
01/01/2019 18:00,0,0.892
01/01/2019 19:00,0,0.934
01/01/2019 20:00,0,0.949
01/01/2019 21:00,0,0.959
01/01/2019 22:00,0,0.966
01/01/2019 23:00,0,0.971
02/01/2019 00:00,0,0.977
02/01/2019 01:00,0,0.983
02/01/2019 02:00,0,0.985
02/01/2019 03:00,0,0.985
02/01/2019 04:00,0,0.984
02/01/2019 05:00,0,0.98
02/01/2019 06:00,0,0.972
02/01/2019 07:00,0,0.958
02/01/2019 08:00,0,0.933
02/01/2019 09:00,0.057,0.906
02/01/2019 10:00,0.224,0.851
02/01/2019 11:00,0.346,0.781
02/01/2019 12:00,0.389,0.738
02/01/2019 13:00,0.343,0.696
02/01/2019 14:00,0.207,0.68
02/01/2019 15:00,0.032,0.664
02/01/2019 16:00,0,0.601
02/01/2019 17:00,0,0.492
02/01/2019 18:00,0,0.373
02/01/2019 19:00,0,0.273
02/01/2019 20:00,0,0.199
02/01/2019 21:00,0,0.161
02/01/2019 22:00,0,0.177
02/01/2019 23:00,0,0.236
03/01/2019 00:00,0,0.313
03/01/2019 01:00,0,0.374
03/01/2019 02:00,0,0.388
03/01/2019 03:00,0,0.382
03/01/2019 04:00,0,0.363
03/01/2019 05:00,0,0.347
03/01/2019 06:00,0,0.341
03/01/2019 07:00,0,0.341
03/01/2019 08:00,0,0.337
03/01/2019 09:00,0.04,0.337
03/01/2019 10:00,0.102,0.345
03/01/2019 11:00,0.158,0.319
03/01/2019 12:00,0.224,0.296
03/01/2019 13:00,0.237,0.352
03/01/2019 14:00,0.173,0.467
03/01/2019 15:00,0.032,0.563
03/01/2019 16:00,0,0.591
03/01/2019 17:00,0,0.654
03/01/2019 18:00,0,0.765
03/01/2019 19:00,0,0.833
03/01/2019 20:00,0,0.859
03/01/2019 21:00,0,0.883
03/01/2019 22:00,0,0.908
03/01/2019 23:00,0,0.922
04/01/2019 00:00,0,0.925
04/01/2019 01:00,0,0.926
04/01/2019 02:00,0,0.928
