t,comp_out,dual_CO2_Liq,dual_CO2_Comp,dual_Electricity,p_CO2_Liq,p_CO2_Comp,p_Electricity,alpha_CO2_Liq_per_CO2_Comp,alpha_Electricity_per_CO2_Comp,p_CO2_Comp_pred,pred_error
T0001,1.6324583333333331,-85.69155238436511,-87.67395238436511,-28.32,85.69155238436511,87.67395238436511,28.32,1.0,0.07,87.67395238436511,0.0
T0002,1.6324583333333331,-85.69155238436511,-86.3964523843651,-10.07,85.69155238436511,86.3964523843651,10.07,1.0,0.07,86.3964523843651,0.0
T0003,1.6324583333333331,-85.69155238436511,-85.83575238436511,-2.06,85.69155238436511,85.83575238436511,2.06,1.0,0.07,85.83575238436511,0.0
T0004,1.6324583333333331,-85.69155238436511,-85.83575238436511,-2.06,85.69155238436511,85.83575238436511,2.06,1.0,0.07,85.83575238436511,0.0
T0005,1.6324583333333331,-85.69155238436511,-85.83575238436511,-2.06,85.69155238436511,85.83575238436511,2.06,1.0,0.07,85.83575238436511,0.0
T0006,1.6324583333333331,-85.69155238436511,-85.75105238436511,-0.8499999999999996,85.69155238436511,85.75105238436511,0.8499999999999996,1.0,0.07,85.75105238436511,0.0
T0007,1.6324583333333331,-85.69155238436511,-85.42205238436512,3.8499999999999996,85.69155238436511,85.42205238436512,-3.8499999999999996,1.0,0.07,85.42205238436512,0.0
T0008,1.6324583333333331,-85.69155238436511,-85.57465238436511,1.67,85.69155238436511,85.57465238436511,-1.67,1.0,0.07,85.57465238436511,0.0
T0009,1.6324583333333331,-85.69155238436511,-85.83575238436511,-2.06,85.69155238436511,85.83575238436511,2.06,1.0,0.07,85.83575238436511,0.0
T0010,1.6324583333333331,-85.69155238436511,-85.83575238436511,-2.06,85.69155238436511,85.83575238436511,2.06,1.0,0.07,85.83575238436511,0.0
T0011,1.6324583333333331,-85.69155238436511,-85.83575238436511,-2.06,85.69155238436511,85.83575238436511,2.06,1.0,0.07,85.83575238436511,0.0
T0012,1.6324583333333331,-85.69155238436511,-85.83575238436511,-2.06,85.69155238436511,85.83575238436511,2.06,1.0,0.07,85.83575238436511,0.0
T0013,1.6324583333333331,-85.69155238436511,-85.83575238436511,-2.06,85.69155238436511,85.83575238436511,2.06,1.0,0.07,85.83575238436511,0.0
T0014,1.6324583333333331,-85.69155238436511,-85.83575238436511,-2.06,85.69155238436511,85.83575238436511,2.06,1.0,0.07,85.83575238436511,0.0
T0015,1.6324583333333331,-85.69155238436511,-85.83575238436511,-2.06,85.69155238436511,85.83575238436511,2.06,1.0,0.07,85.83575238436511,0.0
T0016,1.6324583333333331,-85.69155238436511,-85.83575238436511,-2.06,85.69155238436511,85.83575238436511,2.06,1.0,0.07,85.83575238436511,0.0
T0017,1.6324583333333331,-85.69155238436511,-85.83575238436511,-2.06,85.69155238436511,85.83575238436511,2.06,1.0,0.07,85.83575238436511,0.0
T0018,1.6324583333333331,-85.69155238436511,-86.32575238436512,-9.06,85.69155238436511,86.32575238436512,9.06,1.0,0.07,86.32575238436512,0.0
T0019,1.6324583333333331,-85.69155238436511,-85.83575238436511,-2.06,85.69155238436511,85.83575238436511,2.06,1.0,0.07,85.83575238436511,0.0
T0020,1.6324583333333331,-85.69155238436511,-85.83575238436511,-2.06,85.69155238436511,85.83575238436511,2.06,1.0,0.07,85.83575238436511,0.0
T0021,1.6324583333333331,-85.69155238436511,-85.83575238436511,-2.06,85.69155238436511,85.83575238436511,2.06,1.0,0.07,85.83575238436511,0.0
T0022,1.6324583333333331,-85.69155238436511,-85.50885238436511,2.610000000000001,85.69155238436511,85.50885238436511,-2.610000000000001,1.0,0.07,85.50885238436511,0.0
T0023,1.6324583333333331,-85.69155238436511,-85.83575238436511,-2.06,85.69155238436511,85.83575238436511,2.06,1.0,0.07,85.83575238436511,0.0
T0024,1.6324583333333331,-85.69155238436511,-84.6044523843651,15.53,85.69155238436511,84.6044523843651,-15.53,1.0,0.07,84.6044523843651,0.0
T0025,1.6324583333333331,-85.69155238436511,-84.27965238436511,20.17,85.69155238436511,84.27965238436511,-20.17,1.0,0.07,84.27965238436511,0.0
T0026,1.6324583333333331,-85.69155238436511,-83.41515238436511,32.52,85.69155238436511,83.41515238436511,-32.52,1.0,0.07,83.41515238436511,0.0
T0027,1.6324583333333331,-85.69155238436511,-83.2492523843651,34.89,85.69155238436511,83.2492523843651,-34.89,1.0,0.07,83.2492523843651,0.0
T0028,1.6324583333333331,-85.69155238436511,-84.27755238436511,20.200000000000003,85.69155238436511,84.27755238436511,-20.200000000000003,1.0,0.07,84.27755238436511,0.0
T0029,1.6324583333333331,-85.69155238436511,-84.2817523843651,20.14,85.69155238436511,84.2817523843651,-20.14,1.0,0.07,84.2817523843651,0.0
T0030,1.6324583333333331,-85.69155238436511,-85.38425238436511,4.389999999999999,85.69155238436511,85.38425238436511,-4.389999999999999,1.0,0.07,85.38425238436511,0.0
T0031,1.6324583333333331,-85.69155238436511,-85.83575238436511,-2.06,85.69155238436511,85.83575238436511,2.06,1.0,0.07,85.83575238436511,0.0
T0032,1.6324583333333331,-85.69155238436511,-88.3116523843651,-37.43,85.69155238436511,88.3116523843651,37.43,1.0,0.07,88.3116523843651,0.0
T0033,1.6324583333333331,-85.69155238436511,-89.0557523843651,-48.06,85.69155238436511,89.0557523843651,48.06,1.0,0.07,89.0557523843651,0.0
T0034,1.6324583333333331,-85.69155238436511,-89.24335238436511,-50.74,85.69155238436511,89.24335238436511,50.74,1.0,0.07,89.24335238436511,0.0
T0035,1.6324583333333331,-85.69155238436511,-89.05925238436511,-48.11,85.69155238436511,89.05925238436511,48.11,1.0,0.07,89.05925238436511,0.0
T0036,1.6324583333333331,-85.69155238436511,-89.09775238436511,-48.66,85.69155238436511,89.09775238436511,48.66,1.0,0.07,89.09775238436511,0.0
T0037,1.6324583333333331,-85.69155238436511,-89.18735238436511,-49.94,85.69155238436511,89.18735238436511,49.94,1.0,0.07,89.18735238436511,0.0
T0038,1.6324583333333331,-85.69155238436511,-89.05925238436511,-48.11000000000001,85.69155238436511,89.05925238436511,48.11000000000001,1.0,0.07,89.05925238436511,0.0
T0039,1.6324583333333331,-85.69155238436511,-89.16635238436511,-49.64,85.69155238436511,89.16635238436511,49.64,1.0,0.07,89.16635238436511,0.0
T0040,1.3464916666666642,-85.69155238436511,-89.44845238436511,-53.67,85.69155238436511,89.44845238436511,53.67,1.0,0.07,89.44845238436511,0.0
T0041,0.6529833333333334,-85.59259506095916,-89.51329506095915,-56.01,85.59259506095916,89.51329506095915,56.01,1.0,0.07,89.51329506095915,0.0
T0042,0.6529833333333334,-85.93023072387135,-89.91673072387135,-56.95,85.93023072387135,89.91673072387135,56.95,1.0,0.07,89.91673072387135,0.0
T0043,0.6529833333333334,-90.18300332906315,-94.99830332906316,-68.79,90.18300332906315,94.99830332906316,68.79,1.0,0.07,94.99830332906316,0.0
T0044,0.6529833333333334,-86.62497375925895,-90.74686849610106,-58.884210526315776,86.62497375925895,90.74686849610106,58.884210526315776,1.0,0.07,90.74686849610106,0.0
T0045,0.6529833333333334,-86.62497375925895,-90.74686849610106,-58.884210526315776,86.62497375925895,90.74686849610106,58.884210526315776,1.0,0.07,90.74686849610106,0.0
T0046,0.9860241929461537,-85.56908230545986,-89.48520003089055,-55.944538934724164,85.56908230545986,89.48520003089055,55.944538934724164,1.0,0.07,89.48520003089055,0.0
T0047,0.6529833333333334,-85.69155238436511,-89.81344712120722,-58.884210526315776,85.69155238436511,89.81344712120722,58.884210526315776,1.0,0.07,89.81344712120722,0.0
T0048,0.6529833333333334,-86.62497375925895,-90.74686849610106,-58.884210526315776,86.62497375925895,90.74686849610106,58.884210526315776,1.0,0.07,90.74686849610106,0.0
T0049,0.6529833333333334,-85.7003511235907,-89.6420511235907,-56.309999999999995,85.7003511235907,89.6420511235907,56.309999999999995,1.0,0.07,89.6420511235907,0.0
T0050,0.6529833333333334,-85.69155238436511,-89.7949523843651,-58.62,85.69155238436511,89.7949523843651,58.62,1.0,0.07,89.7949523843651,0.0
T0051,0.6529833333333334,-86.62497375925895,-90.74686849610106,-58.884210526315776,86.62497375925895,90.74686849610106,58.884210526315776,1.0,0.07,90.74686849610106,0.0
T0052,0.6529833333333334,-86.62497375925895,-90.74686849610106,-58.884210526315776,86.62497375925895,90.74686849610106,58.884210526315776,1.0,0.07,90.74686849610106,0.0
T0053,0.9809263838550225,-85.6033706672223,-89.5191706672223,-55.940000000000055,85.6033706672223,89.5191706672223,55.940000000000055,1.0,0.07,89.5191706672223,0.0
T0054,0.6529833333333334,-85.6033706672223,-89.5191706672223,-55.93999999999998,85.6033706672223,89.5191706672223,55.93999999999998,1.0,0.07,89.5191706672223,0.0
T0055,1.6202198164914927,-85.6033706672223,-89.5191706672223,-55.93999999999999,85.6033706672223,89.5191706672223,55.93999999999999,1.0,0.07,89.5191706672223,0.0
T0056,0.6529833333333334,-85.6033706672223,-89.5191706672223,-55.93999999999999,85.6033706672223,89.5191706672223,55.93999999999999,1.0,0.07,89.5191706672223,0.0
T0057,0.6529833333333334,-85.6033706672223,-90.00567066722229,-62.89,85.6033706672223,90.00567066722229,62.89,1.0,0.07,90.00567066722229,0.0
T0068,0.6529833333333334,-85.6033706672223,-89.9090706672223,-61.51,85.6033706672223,89.9090706672223,61.51,1.0,0.07,89.9090706672223,0.0
T0069,0.6529833333333334,-85.6033706672223,-89.52617066722229,-56.04,85.6033706672223,89.52617066722229,56.04,1.0,0.07,89.52617066722229,0.0
T0070,1.6324583333333331,-85.6033706672223,-89.4141706672223,-54.44,85.6033706672223,89.4141706672223,54.44,1.0,0.07,89.4141706672223,0.0
T0071,1.6324583333333331,-85.6033706672223,-89.24967066722229,-52.09,85.6033706672223,89.24967066722229,52.09,1.0,0.07,89.24967066722229,0.0
