t,comp_out,dual_CO2_Liq,dual_CO2_Comp,dual_Electricity,p_CO2_Liq,p_CO2_Comp,p_Electricity,alpha_CO2_Liq_per_CO2_Comp,alpha_Electricity_per_CO2_Comp,p_CO2_Comp_pred,pred_error
T0001,1.6324583333333331,-21.91726,-25.420759999999998,-50.05,21.91726,25.420759999999998,50.05,1.0,0.07,25.420759999999998,0.0
T0002,1.6324583333333331,-21.91726,-24.94035,-43.187000000000005,21.91726,24.94035,43.187000000000005,1.0,0.07,24.94035,0.0
T0003,1.6324583333333331,-21.91726,-24.94266,-43.22,21.91726,24.94266,43.22,1.0,0.07,24.94266,0.0
T0004,1.6324583333333331,-21.91726,-25.09946,-45.46,21.91726,25.09946,45.46,1.0,0.07,25.09946,0.0
T0005,1.6324583333333331,-21.91726,-24.69626,-39.7,21.91726,24.69626,39.7,1.0,0.07,24.69626,0.0
T0006,1.6324583333333331,-21.91726,-24.69626,-39.7,21.91726,24.69626,39.7,1.0,0.07,24.69626,0.0
T0007,1.6324583333333331,-21.91726,-24.75856,-40.59,21.91726,24.75856,40.59,1.0,0.07,24.75856,0.0
T0008,1.6324583333333331,-21.91726,-24.945459999999997,-43.26,21.91726,24.945459999999997,43.26,1.0,0.07,24.945459999999997,0.0
T0009,1.6324583333333331,-21.91726,-25.393459999999997,-49.66,21.91726,25.393459999999997,49.66,1.0,0.07,25.393459999999997,0.0
T0010,1.6324583333333331,-21.91726,-26.82076,-70.05,21.91726,26.82076,70.05,1.0,0.07,26.82076,0.0
T0011,1.6324583333333331,-21.91726,-27.29256,-76.79,21.91726,27.29256,76.79,1.0,0.07,27.29256,0.0
T0012,1.6324583333333331,-21.91726,-27.80426,-84.1,21.91726,27.80426,84.1,1.0,0.07,27.80426,0.0
T0013,1.6324583333333331,-21.91726,-28.549059999999997,-94.74,21.91726,28.549059999999997,94.74,1.0,0.07,28.549059999999997,0.0
T0014,1.6324583333333331,-21.91726,-28.69326,-96.8,21.91726,28.69326,96.8,1.0,0.07,28.69326,0.0
T0015,1.6324583333333331,-21.91726,-28.71916,-97.17,21.91726,28.71916,97.17,1.0,0.07,28.71916,0.0
T0016,1.6324583333333331,-21.91726,-29.00616,-101.27,21.91726,29.00616,101.27,1.0,0.07,29.00616,0.0
T0017,1.6324583333333331,-21.91726,-30.77926,-126.6,21.91726,30.77926,126.6,1.0,0.07,30.77926,0.0
T0018,1.6324583333333331,-21.91726,-32.41516,-149.97,21.91726,32.41516,149.97,1.0,0.07,32.41516,0.0
T0019,1.6324583333333331,-21.91726,-32.16036,-146.33,21.91726,32.16036,146.33,1.0,0.07,32.16036,0.0
T0020,1.6324583333333331,-21.91726,-31.73686,-140.28,21.91726,31.73686,140.28,1.0,0.07,31.73686,0.0
T0021,1.6324583333333331,-21.91726,-30.44886,-121.88,21.91726,30.44886,121.88,1.0,0.07,30.44886,0.0
T0022,1.6324583333333331,-21.91726,-29.09996,-102.61,21.91726,29.09996,102.61,1.0,0.07,29.09996,0.0
T0023,1.6324583333333331,-21.91726,-28.57566,-95.12,21.91726,28.57566,95.12,1.0,0.07,28.57566,0.0
T0024,1.6324583333333331,-21.91726,-27.73496,-83.11,21.91726,27.73496,83.11,1.0,0.07,27.73496,0.0
T0025,1.6324583333333331,-21.91726,-25.91286,-57.08,21.91726,25.91286,57.08,1.0,0.07,25.91286,0.0
T0026,1.6324583333333331,-21.91726,-25.59856,-52.59,21.91726,25.59856,52.59,1.0,0.07,25.59856,0.0
T0027,1.6324583333333331,-21.91726,-25.34516,-48.97,21.91726,25.34516,48.97,1.0,0.07,25.34516,0.0
T0028,1.6324583333333331,-21.91726,-24.363059999999997,-34.94,21.91726,24.363059999999997,34.94,1.0,0.07,24.363059999999997,0.0
T0029,1.6324583333333331,-21.91726,-24.29516,-33.97,21.91726,24.29516,33.97,1.0,0.07,24.29516,0.0
T0030,1.6324583333333331,-21.91726,-24.29516,-33.97,21.91726,24.29516,33.97,1.0,0.07,24.29516,0.0
T0031,1.6324583333333331,-21.91726,-24.33366,-34.52,21.91726,24.33366,34.52,1.0,0.07,24.33366,0.0
