t,comp_out,dual_CO2_Liq,dual_CO2_Comp,dual_Electricity,p_CO2_Liq,p_CO2_Comp,p_Electricity,alpha_CO2_Liq_per_CO2_Comp,alpha_Electricity_per_CO2_Comp,p_CO2_Comp_pred,pred_error
T0001,1.6324583333333331,-184.1503653896416,-187.6538653896416,-50.05,184.1503653896416,187.6538653896416,50.05,1.0,0.07,187.6538653896416,0.0
T0002,1.6324583333333331,-184.1503653896416,-187.1734553896416,-43.187000000000005,184.1503653896416,187.1734553896416,43.187000000000005,1.0,0.07,187.1734553896416,0.0
T0003,1.6324583333333331,-184.1503653896416,-187.17576538964158,-43.22,184.1503653896416,187.17576538964158,43.22,1.0,0.07,187.17576538964158,0.0
T0004,1.6324583333333331,-184.1503653896416,-187.3325653896416,-45.46,184.1503653896416,187.3325653896416,45.46,1.0,0.07,187.3325653896416,0.0
T0005,1.6324583333333331,-184.1503653896416,-186.9293653896416,-39.7,184.1503653896416,186.9293653896416,39.7,1.0,0.07,186.9293653896416,0.0
T0006,1.6324583333333331,-184.1503653896416,-186.9293653896416,-39.7,184.1503653896416,186.9293653896416,39.7,1.0,0.07,186.9293653896416,0.0
T0007,1.6324583333333331,-184.1503653896416,-186.99166538964158,-40.59,184.1503653896416,186.99166538964158,40.59,1.0,0.07,186.99166538964158,0.0
T0008,1.6324583333333331,-184.1503653896416,-187.1785653896416,-43.26,184.1503653896416,187.1785653896416,43.26,1.0,0.07,187.1785653896416,0.0
T0009,1.6324583333333331,-184.1503653896416,-187.6265653896416,-49.66,184.1503653896416,187.6265653896416,49.66,1.0,0.07,187.6265653896416,0.0
T0010,1.6324583333333331,-184.1503653896416,-189.0538653896416,-70.05,184.1503653896416,189.0538653896416,70.05,1.0,0.07,189.0538653896416,0.0
T0011,1.6324583333333331,-184.1503653896416,-189.5256653896416,-76.79,184.1503653896416,189.5256653896416,76.79,1.0,0.07,189.5256653896416,0.0
T0012,1.6324583333333331,-184.1503653896416,-190.0373653896416,-84.1,184.1503653896416,190.0373653896416,84.1,1.0,0.07,190.0373653896416,0.0
T0013,1.6324583333333331,-184.1503653896416,-190.7821653896416,-94.74,184.1503653896416,190.7821653896416,94.74,1.0,0.07,190.7821653896416,0.0
T0014,1.6324583333333331,-184.1503653896416,-190.9263653896416,-96.8,184.1503653896416,190.9263653896416,96.8,1.0,0.07,190.9263653896416,0.0
T0015,1.6324583333333331,-184.1503653896416,-190.95226538964158,-97.17,184.1503653896416,190.95226538964158,97.17,1.0,0.07,190.95226538964158,0.0
T0016,1.6324583333333331,-184.1503653896416,-191.2392653896416,-101.27,184.1503653896416,191.2392653896416,101.27,1.0,0.07,191.2392653896416,0.0
T0017,1.6324583333333331,-184.1503653896416,-193.0123653896416,-126.6,184.1503653896416,193.0123653896416,126.6,1.0,0.07,193.0123653896416,0.0
T0018,1.6324583333333331,-184.1503653896416,-194.6482653896416,-149.97,184.1503653896416,194.6482653896416,149.97,1.0,0.07,194.6482653896416,0.0
T0019,1.6324583333333331,-184.1503653896416,-194.3934653896416,-146.33,184.1503653896416,194.3934653896416,146.33,1.0,0.07,194.3934653896416,0.0
T0020,1.6324583333333331,-184.1503653896416,-193.9699653896416,-140.28,184.1503653896416,193.9699653896416,140.28,1.0,0.07,193.9699653896416,0.0
T0021,1.6324583333333331,-184.1503653896416,-192.6819653896416,-121.88,184.1503653896416,192.6819653896416,121.88,1.0,0.07,192.6819653896416,0.0
T0022,1.6324583333333331,-184.1503653896416,-191.3330653896416,-102.61,184.1503653896416,191.3330653896416,102.61,1.0,0.07,191.3330653896416,0.0
T0023,1.6324583333333331,-184.1503653896416,-190.8087653896416,-95.12,184.1503653896416,190.8087653896416,95.12,1.0,0.07,190.8087653896416,0.0
T0024,1.6324583333333331,-184.1503653896416,-189.9680653896416,-83.11,184.1503653896416,189.9680653896416,83.11,1.0,0.07,189.9680653896416,0.0
T0025,1.6324583333333331,-184.1503653896416,-188.1459653896416,-57.08,184.1503653896416,188.1459653896416,57.08,1.0,0.07,188.1459653896416,0.0
T0026,1.6324583333333331,-184.1503653896416,-187.83166538964159,-52.59,184.1503653896416,187.83166538964159,52.59,1.0,0.07,187.83166538964159,0.0
T0027,1.6324583333333331,-184.1503653896416,-187.5782653896416,-48.97,184.1503653896416,187.5782653896416,48.97,1.0,0.07,187.5782653896416,0.0
T0028,1.6324583333333331,-184.1503653896416,-186.59616538964158,-34.94,184.1503653896416,186.59616538964158,34.94,1.0,0.07,186.59616538964158,0.0
T0029,1.6324583333333331,-184.1503653896416,-186.5282653896416,-33.97,184.1503653896416,186.5282653896416,33.97,1.0,0.07,186.5282653896416,0.0
T0030,1.6324583333333331,-184.1503653896416,-186.5282653896416,-33.97,184.1503653896416,186.5282653896416,33.97,1.0,0.07,186.5282653896416,0.0
T0031,1.6324583333333331,-184.1503653896416,-186.5667653896416,-34.52,184.1503653896416,186.5667653896416,34.52,1.0,0.07,186.5667653896416,0.0
T0032,1.6324583333333331,-184.1503653896416,-187.07636538964158,-41.8,184.1503653896416,187.07636538964158,41.8,1.0,0.07,187.07636538964158,0.0
T0033,1.6324583333333331,-184.1503653896416,-187.5768653896416,-48.95,184.1503653896416,187.5768653896416,48.95,1.0,0.07,187.5768653896416,0.0
T0034,1.6324583333333331,-184.1503653896416,-188.3510653896416,-60.01,184.1503653896416,188.3510653896416,60.01,1.0,0.07,188.3510653896416,0.0
T0035,1.6324583333333331,-184.1503653896416,-189.05666538964158,-70.09,184.1503653896416,189.05666538964158,70.09,1.0,0.07,189.05666538964158,0.0
T0036,1.6324583333333331,-184.1503653896416,-188.7885653896416,-66.26,184.1503653896416,188.7885653896416,66.26,1.0,0.07,188.7885653896416,0.0
T0037,1.6324583333333331,-184.1503653896416,-188.6681653896416,-64.54,184.1503653896416,188.6681653896416,64.54,1.0,0.07,188.6681653896416,0.0
T0038,1.6324583333333331,-184.1503653896416,-188.3755653896416,-60.36,184.1503653896416,188.3755653896416,60.36,1.0,0.07,188.3755653896416,0.0
T0039,1.6324583333333331,-184.1503653896416,-188.3755653896416,-60.36,184.1503653896416,188.3755653896416,60.36,1.0,0.07,188.3755653896416,0.0
T0040,1.6324583333333331,-184.1503653896416,-189.3996653896416,-74.99,184.1503653896416,189.3996653896416,74.99,1.0,0.07,189.3996653896416,0.0
