t,comp_out,dual_CO2_Liq,dual_CO2_Comp,dual_Electricity,p_CO2_Liq,p_CO2_Comp,p_Electricity,alpha_CO2_Liq_per_CO2_Comp,alpha_Electricity_per_CO2_Comp,p_CO2_Comp_pred,pred_error
T0001,1.6324583333333331,-144.6649521726875,-148.1684521726875,-50.05,144.6649521726875,148.1684521726875,50.05,1.0,0.07,148.1684521726875,0.0
T0002,1.6324583333333331,-142.19985264655307,-145.22294264655307,-43.187000000000005,142.19985264655307,145.22294264655307,43.187000000000005,1.0,0.07,145.22294264655307,0.0
T0003,1.6324583333333331,-142.21170581344253,-145.23710581344253,-43.22,142.21170581344253,145.23710581344253,43.22,1.0,0.07,145.23710581344253,0.0
T0004,1.6324583333333331,-143.01628441442477,-146.19848441442477,-45.46,143.01628441442477,146.19848441442477,45.46,1.0,0.07,146.19848441442477,0.0
T0005,1.6324583333333331,-140.94736801189902,-143.726368011899,-39.7,140.94736801189902,143.726368011899,39.7,1.0,0.07,143.726368011899,0.0
T0006,1.6324583333333331,-140.94736801189902,-143.726368011899,-39.7,140.94736801189902,143.726368011899,39.7,1.0,0.07,143.726368011899,0.0
T0007,1.6324583333333331,-141.26704433103933,-144.10834433103932,-40.59,141.26704433103933,144.10834433103932,40.59,1.0,0.07,144.10834433103932,0.0
T0008,1.6324583333333331,-142.2260732884601,-145.2542732884601,-43.26,142.2260732884601,145.2542732884601,43.26,1.0,0.07,145.2542732884601,0.0
T0009,1.6324583333333331,-144.52486929126647,-148.00106929126648,-49.66,144.52486929126647,148.00106929126648,49.66,1.0,0.07,148.00106929126648,0.0
T0010,1.6324583333333331,-151.84868968145744,-156.75218968145745,-70.05,151.84868968145744,156.75218968145745,70.05,1.0,0.07,156.75218968145745,0.0
T0011,1.6324583333333331,-154.26960922191293,-159.64490922191294,-76.79,154.26960922191293,159.64490922191294,76.79,1.0,0.07,159.64490922191294,0.0
T0012,1.6324583333333331,-156.89526528136838,-162.78226528136838,-84.1,156.89526528136838,162.78226528136838,84.1,1.0,0.07,162.78226528136838,0.0
T0013,1.6324583333333331,-160.71701363603395,-167.34881363603395,-94.74,160.71701363603395,167.34881363603395,94.74,1.0,0.07,167.34881363603395,0.0
T0014,1.6324583333333331,-161.4569385994373,-168.23293859943732,-96.8,161.4569385994373,168.23293859943732,96.8,1.0,0.07,168.23293859943732,0.0
T0015,1.6324583333333331,-161.58983774334953,-168.39173774334952,-97.17,161.58983774334953,168.39173774334952,97.17,1.0,0.07,168.39173774334952,0.0
T0016,1.6324583333333331,-163.06250393264736,-170.15140393264736,-101.27,163.06250393264736,170.15140393264736,101.27,1.0,0.07,170.15140393264736,0.0
T0017,1.6324583333333331,-172.16070748750454,-181.02270748750453,-126.6,172.16070748750454,181.02270748750453,126.6,1.0,0.07,181.02270748750453,0.0
T0018,1.6324583333333331,-180.55490476650226,-191.05280476650228,-149.97,180.55490476650226,191.05280476650228,149.97,1.0,0.07,191.05280476650228,0.0
T0019,1.6324583333333331,-179.2474645399061,-189.4905645399061,-146.33,179.2474645399061,189.4905645399061,146.33,1.0,0.07,189.4905645399061,0.0
T0020,1.6324583333333331,-177.0743839435032,-186.8939839435032,-140.28,177.0743839435032,186.8939839435032,140.28,1.0,0.07,186.8939839435032,0.0
