t,dual_CO2_Liq,p_CO2_Liq,dual_Electricity,p_Electricity,comp_in_CO2_Liq,comp_in_Electricity,comp_out_CO2_Comp,wedge_0.07_p_el,store_volume,store_charge_Fuelusetotal,store_discharge,dual_storage_balance_lambda,dual_soc_max_mu,dual_terminal_soc_nu,comp_on,store_charge_on,store_discharge_on,any_activity,idle_but_priced
T0001,-21.91726,21.91726,-50.05,50.05,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.5035000000000003,1.0005,0.0004999999999999449,0.0,21.91726,0.0,-13.565740000000002,True,True,False,True,False
T0002,-21.91726,21.91726,-43.187000000000005,43.187000000000005,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.0230900000000007,1.001,0.0004999999999999449,0.0,21.91726,0.0,-13.565740000000002,True,True,False,True,False
T0003,-21.91726,21.91726,-43.22,43.22,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.0254000000000003,1.0014999999999998,0.0004999999999999449,0.0,21.91726,0.0,-13.565740000000002,True,True,False,True,False
T0004,-21.91726,21.91726,-45.46,45.46,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.1822000000000004,1.0019999999999998,0.0004999999999999449,0.0,21.91726,0.0,-13.565740000000002,True,True,False,True,False
T0005,-21.91726,21.91726,-39.7,39.7,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.7790000000000004,1.0024999999999997,0.0004999999999999449,0.0,21.91726,0.0,-13.565740000000002,True,True,False,True,False
T0006,-21.91726,21.91726,-39.7,39.7,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.7790000000000004,1.0029999999999997,0.0004999999999999449,0.0,21.91726,0.0,-13.565740000000002,True,True,False,True,False
T0007,-21.91726,21.91726,-40.59,40.59,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.8413000000000004,1.0034999999999996,0.0004999999999999449,0.0,21.91726,0.0,-13.565740000000002,True,True,False,True,False
T0008,-21.91726,21.91726,-43.26,43.26,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.0282,1.0039999999999996,0.0004999999999999449,0.0,21.91726,0.0,-13.565740000000002,True,True,False,True,False
T0009,-21.91726,21.91726,-49.66,49.66,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.4762,1.0044999999999995,0.0004999999999999449,0.0,21.91726,0.0,-13.565740000000002,True,True,False,True,False
T0010,-21.91726,21.91726,-70.05,70.05,1.6324583333333331,0.11427208333333333,1.6324583333333331,4.9035,1.0049999999999994,0.0004999999999999449,0.0,21.91726,0.0,-13.565740000000002,True,True,False,True,False
T0011,-21.91726,21.91726,-76.79,76.79,1.6324583333333331,0.11427208333333333,1.6324583333333331,5.375300000000001,1.0054999999999994,0.0004999999999999449,0.0,21.91726,0.0,-13.565740000000002,True,True,False,True,False
T0012,-21.91726,21.91726,-84.1,84.1,1.6324583333333331,0.11427208333333333,1.6324583333333331,5.8870000000000005,1.0059999999999993,0.0004999999999999449,0.0,21.91726,0.0,-13.565740000000002,True,True,False,True,False
T0013,-21.91726,21.91726,-94.74,94.74,1.6324583333333331,0.11427208333333333,1.6324583333333331,6.6318,1.0064999999999993,0.0004999999999999449,0.0,21.91726,0.0,-13.565740000000002,True,True,False,True,False
T0014,-21.91726,21.91726,-96.8,96.8,1.6324583333333331,0.11427208333333333,1.6324583333333331,6.776000000000001,1.0069999999999992,0.0004999999999999449,0.0,21.91726,0.0,-13.565740000000002,True,True,False,True,False
T0015,-21.91726,21.91726,-97.17,97.17,1.6324583333333331,0.11427208333333333,1.6324583333333331,6.801900000000001,1.0074999999999992,0.0004999999999999449,0.0,21.91726,0.0,-13.565740000000002,True,True,False,True,False
T0016,-21.91726,21.91726,-101.27,101.27,1.6324583333333331,0.11427208333333333,1.6324583333333331,7.088900000000001,1.0079999999999991,0.0004999999999999449,0.0,21.91726,0.0,-13.565740000000002,True,True,False,True,False
T0017,-21.91726,21.91726,-126.6,126.6,1.6324583333333331,0.11427208333333333,1.6324583333333331,8.862,1.008499999999999,0.0004999999999999449,0.0,21.91726,0.0,-13.565740000000002,True,True,False,True,False
