t,dual_CO2_Liq,p_CO2_Liq,dual_Electricity,p_Electricity,comp_in_CO2_Liq,comp_in_Electricity,comp_out_CO2_Comp,wedge_0.07_p_el,store_volume,store_charge_Fuelusetotal,store_discharge,dual_storage_balance_lambda,dual_soc_max_mu,dual_terminal_soc_nu,comp_on,store_charge_on,store_discharge_on,any_activity,idle_but_priced
T0001,-184.1503653896416,184.1503653896416,-50.05,50.05,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.5035000000000003,1.0005,0.0004999999999999449,0.0,184.1503653896416,0.0,-183.44443544032853,True,True,False,True,False
T0002,-184.1503653896416,184.1503653896416,-43.187000000000005,43.187000000000005,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.0230900000000007,1.001,0.0004999999999999449,0.0,184.1503653896416,0.0,-183.44443544032853,True,True,False,True,False
T0003,-184.1503653896416,184.1503653896416,-43.22,43.22,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.0254000000000003,1.0014999999999998,0.0004999999999999449,0.0,184.1503653896416,0.0,-183.44443544032853,True,True,False,True,False
T0004,-184.1503653896416,184.1503653896416,-45.46,45.46,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.1822000000000004,1.0019999999999998,0.0004999999999999449,0.0,184.1503653896416,0.0,-183.44443544032853,True,True,False,True,False
T0005,-184.1503653896416,184.1503653896416,-39.7,39.7,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.7790000000000004,1.0024999999999997,0.0004999999999999449,0.0,184.1503653896416,0.0,-183.44443544032853,True,True,False,True,False
T0006,-184.1503653896416,184.1503653896416,-39.7,39.7,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.7790000000000004,1.0029999999999997,0.0004999999999999449,0.0,184.1503653896416,0.0,-183.44443544032853,True,True,False,True,False
T0007,-184.1503653896416,184.1503653896416,-40.59,40.59,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.8413000000000004,1.0034999999999996,0.0004999999999999449,0.0,184.1503653896416,0.0,-183.44443544032853,True,True,False,True,False
T0008,-184.1503653896416,184.1503653896416,-43.26,43.26,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.0282,1.0039999999999996,0.0004999999999999449,0.0,184.1503653896416,0.0,-183.44443544032853,True,True,False,True,False
T0009,-184.1503653896416,184.1503653896416,-49.66,49.66,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.4762,1.0044999999999995,0.0004999999999999449,0.0,184.1503653896416,0.0,-183.44443544032853,True,True,False,True,False
T0010,-184.1503653896416,184.1503653896416,-70.05,70.05,1.6324583333333331,0.11427208333333333,1.6324583333333331,4.9035,1.0049999999999994,0.0004999999999999449,0.0,184.1503653896416,0.0,-183.44443544032853,True,True,False,True,False
