t,comp_out,dual_CO2_Liq,dual_CO2_Comp,dual_Electricity,p_CO2_Liq,p_CO2_Comp,p_Electricity,alpha_CO2_Liq_per_CO2_Comp,alpha_Electricity_per_CO2_Comp,p_CO2_Comp_pred,pred_error
T0001,1.6324583333333331,-85.56745197967847,-87.54985197967846,-28.32,85.56745197967847,87.54985197967846,28.32,1.0,0.07,87.54985197967846,0.0
T0002,1.6324583333333331,-85.56745197967847,-86.27235197967846,-10.07,85.56745197967847,86.27235197967846,10.07,1.0,0.07,86.27235197967846,0.0
T0003,1.6324583333333331,-85.56745197967847,-85.71165197967846,-2.06,85.56745197967847,85.71165197967846,2.06,1.0,0.07,85.71165197967846,0.0
T0004,1.6324583333333331,-85.56745197967847,-85.71165197967846,-2.06,85.56745197967847,85.71165197967846,2.06,1.0,0.07,85.71165197967846,0.0
T0005,1.6324583333333331,-85.56745197967847,-85.71165197967846,-2.06,85.56745197967847,85.71165197967846,2.06,1.0,0.07,85.71165197967846,0.0
T0006,1.6324583333333331,-85.56745197967847,-85.62695197967847,-0.8499999999999996,85.56745197967847,85.62695197967847,0.8499999999999996,1.0,0.07,85.62695197967847,0.0
T0007,1.6324583333333331,-85.56745197967847,-85.29795197967847,3.8499999999999996,85.56745197967847,85.29795197967847,-3.8499999999999996,1.0,0.07,85.29795197967847,0.0
T0008,1.6324583333333331,-85.56745197967847,-85.45055197967847,1.67,85.56745197967847,85.45055197967847,-1.67,1.0,0.07,85.45055197967847,0.0
T0009,1.6324583333333331,-85.56745197967847,-85.71165197967846,-2.06,85.56745197967847,85.71165197967846,2.06,1.0,0.07,85.71165197967846,0.0
T0010,1.6324583333333331,-85.56745197967847,-85.71165197967846,-2.06,85.56745197967847,85.71165197967846,2.06,1.0,0.07,85.71165197967846,0.0
T0011,1.6324583333333331,-85.56745197967847,-85.71165197967846,-2.06,85.56745197967847,85.71165197967846,2.06,1.0,0.07,85.71165197967846,0.0
T0012,1.6324583333333331,-85.56745197967847,-85.71165197967846,-2.06,85.56745197967847,85.71165197967846,2.06,1.0,0.07,85.71165197967846,0.0
T0013,1.6324583333333331,-85.56745197967847,-85.71165197967846,-2.06,85.56745197967847,85.71165197967846,2.06,1.0,0.07,85.71165197967846,0.0
T0014,1.6324583333333331,-85.56745197967847,-85.71165197967846,-2.06,85.56745197967847,85.71165197967846,2.06,1.0,0.07,85.71165197967846,0.0
T0015,1.6324583333333331,-85.56745197967847,-85.71165197967846,-2.06,85.56745197967847,85.71165197967846,2.06,1.0,0.07,85.71165197967846,0.0
T0016,1.6324583333333331,-85.56745197967847,-85.71165197967846,-2.06,85.56745197967847,85.71165197967846,2.06,1.0,0.07,85.71165197967846,0.0
T0017,1.6324583333333331,-85.56745197967847,-85.71165197967846,-2.06,85.56745197967847,85.71165197967846,2.06,1.0,0.07,85.71165197967846,0.0
T0018,1.6324583333333331,-85.56745197967847,-86.20165197967847,-9.06,85.56745197967847,86.20165197967847,9.06,1.0,0.07,86.20165197967847,0.0
T0019,1.6324583333333331,-85.56745197967847,-85.71165197967846,-2.06,85.56745197967847,85.71165197967846,2.06,1.0,0.07,85.71165197967846,0.0
T0020,1.6324583333333331,-85.56745197967847,-85.71165197967846,-2.06,85.56745197967847,85.71165197967846,2.06,1.0,0.07,85.71165197967846,0.0
T0021,1.6324583333333331,-85.56745197967847,-85.71165197967846,-2.06,85.56745197967847,85.71165197967846,2.06,1.0,0.07,85.71165197967846,0.0
T0022,1.6324583333333331,-85.56745197967847,-85.38475197967847,2.610000000000001,85.56745197967847,85.38475197967847,-2.610000000000001,1.0,0.07,85.38475197967847,0.0
T0023,1.6324583333333331,-85.56745197967847,-85.71165197967846,-2.06,85.56745197967847,85.71165197967846,2.06,1.0,0.07,85.71165197967846,0.0
T0024,1.6324583333333331,-85.56745197967847,-84.48035197967846,15.53,85.56745197967847,84.48035197967846,-15.53,1.0,0.07,84.48035197967846,0.0
T0025,1.6324583333333331,-85.56745197967847,-84.15555197967846,20.17,85.56745197967847,84.15555197967846,-20.17,1.0,0.07,84.15555197967846,0.0
T0026,1.6324583333333331,-85.56745197967847,-83.29105197967847,32.52,85.56745197967847,83.29105197967847,-32.52,1.0,0.07,83.29105197967847,0.0
T0027,1.6324583333333331,-85.56745197967847,-83.12515197967846,34.89,85.56745197967847,83.12515197967846,-34.89,1.0,0.07,83.12515197967846,0.0
T0028,1.6324583333333331,-85.56745197967847,-84.15345197967847,20.200000000000003,85.56745197967847,84.15345197967847,-20.200000000000003,1.0,0.07,84.15345197967847,0.0
T0029,1.6324583333333331,-85.56745197967847,-84.15765197967846,20.14,85.56745197967847,84.15765197967846,-20.14,1.0,0.07,84.15765197967846,0.0
T0030,1.6324583333333331,-85.56745197967847,-85.26015197967847,4.389999999999999,85.56745197967847,85.26015197967847,-4.389999999999999,1.0,0.07,85.26015197967847,0.0
T0031,1.6324583333333331,-85.56745197967847,-85.71165197967846,-2.06,85.56745197967847,85.71165197967846,2.06,1.0,0.07,85.71165197967846,0.0
T0032,1.6324583333333331,-85.56745197967847,-88.18755197967846,-37.43,85.56745197967847,88.18755197967846,37.43,1.0,0.07,88.18755197967846,0.0
T0033,1.6324583333333331,-85.56745197967847,-88.93165197967846,-48.06,85.56745197967847,88.93165197967846,48.06,1.0,0.07,88.93165197967846,0.0
T0034,1.6324583333333331,-85.56745197967847,-89.11925197967847,-50.74,85.56745197967847,89.11925197967847,50.74,1.0,0.07,89.11925197967847,0.0
T0035,1.6324583333333331,-85.56745197967847,-88.93515197967847,-48.11,85.56745197967847,88.93515197967847,48.11,1.0,0.07,88.93515197967847,0.0
T0036,1.6324583333333331,-85.56745197967847,-88.97365197967846,-48.66,85.56745197967847,88.97365197967846,48.66,1.0,0.07,88.97365197967846,0.0
T0037,1.6324583333333331,-85.56745197967847,-89.06325197967847,-49.94,85.56745197967847,89.06325197967847,49.94,1.0,0.07,89.06325197967847,0.0
T0038,1.6324583333333331,-85.56745197967847,-88.93515197967847,-48.11000000000001,85.56745197967847,88.93515197967847,48.11000000000001,1.0,0.07,88.93515197967847,0.0
T0039,1.6324583333333331,-85.56745197967847,-89.04225197967847,-49.64,85.56745197967847,89.04225197967847,49.64,1.0,0.07,89.04225197967847,0.0
T0040,1.6324583333333331,-85.56745197967847,-89.32435197967847,-53.67,85.56745197967847,89.32435197967847,53.67,1.0,0.07,89.32435197967847,0.0
T0041,0.6529833333333334,-85.56745197967847,-89.48815197967846,-56.01,85.56745197967847,89.48815197967846,56.01,1.0,0.07,89.48815197967846,0.0
T0042,0.6995993046845314,-79.64707068666893,-83.63357068666893,-56.95,79.64707068666893,83.63357068666893,56.95,1.0,0.07,83.63357068666893,0.0
T0043,0.6529833333333334,-71.55844728568167,-76.37374728568167,-68.79,71.55844728568167,76.37374728568167,68.79,1.0,0.07,76.37374728568167,0.0
T0044,0.6529833333333334,-85.56745197967847,-89.68934671652057,-58.884210526315776,85.56745197967847,89.68934671652057,58.884210526315776,1.0,0.07,89.68934671652057,0.0
T0045,0.6995993046845315,-68.30918571959765,-72.43108045643976,-58.884210526315776,68.30918571959765,72.43108045643976,58.884210526315776,1.0,0.07,72.43108045643976,0.0
T0046,1.0035752350372817,-85.56745197967847,-89.48325197967847,-55.939999999999976,85.56745197967847,89.48325197967847,55.939999999999976,1.0,0.07,89.48325197967847,0.0
T0047,0.6995993046845315,-68.30918571959765,-72.43108045643976,-58.884210526315776,68.30918571959765,72.43108045643976,58.884210526315776,1.0,0.07,72.43108045643976,0.0
T0048,0.6529833333333334,-85.56745197967847,-89.68934671652057,-58.884210526315776,85.56745197967847,89.68934671652057,58.884210526315776,1.0,0.07,89.68934671652057,0.0
T0049,0.6529833333333334,-85.56745197967847,-89.50915197967846,-56.309999999999995,85.56745197967847,89.50915197967846,56.309999999999995,1.0,0.07,89.50915197967846,0.0
T0050,0.6529833333333334,-85.56745197967847,-89.67085197967847,-58.62,85.56745197967847,89.67085197967847,58.62,1.0,0.07,89.67085197967847,0.0
