t,comp_out,dual_CO2_Liq,dual_CO2_Comp,dual_Electricity,p_CO2_Liq,p_CO2_Comp,p_Electricity,alpha_CO2_Liq_per_CO2_Comp,alpha_Electricity_per_CO2_Comp,p_CO2_Comp_pred,pred_error
T0001,1.6324583333333331,-85.68957551732761,-87.67197551732761,-28.32,85.68957551732761,87.67197551732761,28.32,1.0,0.07,87.67197551732761,0.0
T0002,1.6324583333333331,-85.68957551732761,-86.3944755173276,-10.07,85.68957551732761,86.3944755173276,10.07,1.0,0.07,86.3944755173276,0.0
T0003,1.6324583333333331,-85.68957551732761,-85.83377551732761,-2.06,85.68957551732761,85.83377551732761,2.06,1.0,0.07,85.83377551732761,0.0
T0004,1.6324583333333331,-85.68957551732761,-85.83377551732761,-2.06,85.68957551732761,85.83377551732761,2.06,1.0,0.07,85.83377551732761,0.0
T0005,1.6324583333333331,-85.68957551732761,-85.83377551732761,-2.06,85.68957551732761,85.83377551732761,2.06,1.0,0.07,85.83377551732761,0.0
T0006,1.6324583333333331,-85.68957551732761,-85.74907551732761,-0.8499999999999996,85.68957551732761,85.74907551732761,0.8499999999999996,1.0,0.07,85.74907551732761,0.0
T0007,1.6324583333333331,-85.68957551732761,-85.42007551732762,3.8499999999999996,85.68957551732761,85.42007551732762,-3.8499999999999996,1.0,0.07,85.42007551732762,0.0
T0008,1.6324583333333331,-85.68957551732761,-85.57267551732761,1.67,85.68957551732761,85.57267551732761,-1.67,1.0,0.07,85.57267551732761,0.0
T0009,1.6324583333333331,-85.68957551732761,-85.83377551732761,-2.06,85.68957551732761,85.83377551732761,2.06,1.0,0.07,85.83377551732761,0.0
T0010,1.6324583333333331,-85.68957551732761,-85.83377551732761,-2.06,85.68957551732761,85.83377551732761,2.06,1.0,0.07,85.83377551732761,0.0
T0011,1.6324583333333331,-85.68957551732761,-85.83377551732761,-2.06,85.68957551732761,85.83377551732761,2.06,1.0,0.07,85.83377551732761,0.0
T0012,1.6324583333333331,-85.68957551732761,-85.83377551732761,-2.06,85.68957551732761,85.83377551732761,2.06,1.0,0.07,85.83377551732761,0.0
T0013,1.6324583333333331,-85.68957551732761,-85.83377551732761,-2.06,85.68957551732761,85.83377551732761,2.06,1.0,0.07,85.83377551732761,0.0
T0014,1.6324583333333331,-85.68957551732761,-85.83377551732761,-2.06,85.68957551732761,85.83377551732761,2.06,1.0,0.07,85.83377551732761,0.0
T0015,1.6324583333333331,-85.68957551732761,-85.83377551732761,-2.06,85.68957551732761,85.83377551732761,2.06,1.0,0.07,85.83377551732761,0.0
T0016,1.6324583333333331,-85.68957551732761,-85.83377551732761,-2.06,85.68957551732761,85.83377551732761,2.06,1.0,0.07,85.83377551732761,0.0
T0017,1.6324583333333331,-85.68957551732761,-85.83377551732761,-2.06,85.68957551732761,85.83377551732761,2.06,1.0,0.07,85.83377551732761,0.0
T0018,1.6324583333333331,-85.68957551732761,-86.32377551732762,-9.06,85.68957551732761,86.32377551732762,9.06,1.0,0.07,86.32377551732762,0.0
T0019,1.6324583333333331,-85.68957551732761,-85.83377551732761,-2.06,85.68957551732761,85.83377551732761,2.06,1.0,0.07,85.83377551732761,0.0
T0020,1.6324583333333331,-85.68957551732761,-85.83377551732761,-2.06,85.68957551732761,85.83377551732761,2.06,1.0,0.07,85.83377551732761,0.0
T0021,1.6324583333333331,-85.68957551732761,-85.83377551732761,-2.06,85.68957551732761,85.83377551732761,2.06,1.0,0.07,85.83377551732761,0.0
T0022,1.6324583333333331,-85.68957551732761,-85.50687551732761,2.610000000000001,85.68957551732761,85.50687551732761,-2.610000000000001,1.0,0.07,85.50687551732761,0.0
T0023,1.6324583333333331,-85.68957551732761,-85.83377551732761,-2.06,85.68957551732761,85.83377551732761,2.06,1.0,0.07,85.83377551732761,0.0
T0024,1.6324583333333331,-85.68957551732761,-84.6024755173276,15.53,85.68957551732761,84.6024755173276,-15.53,1.0,0.07,84.6024755173276,0.0
T0025,1.6324583333333331,-85.68957551732761,-84.27767551732761,20.17,85.68957551732761,84.27767551732761,-20.17,1.0,0.07,84.27767551732761,0.0
T0026,1.6324583333333331,-85.68957551732761,-83.41317551732762,32.52,85.68957551732761,83.41317551732762,-32.52,1.0,0.07,83.41317551732762,0.0
T0027,1.6324583333333331,-85.68957551732761,-83.24727551732761,34.89,85.68957551732761,83.24727551732761,-34.89,1.0,0.07,83.24727551732761,0.0
T0028,1.6324583333333331,-85.68957551732761,-84.27557551732761,20.200000000000003,85.68957551732761,84.27557551732761,-20.200000000000003,1.0,0.07,84.27557551732761,0.0
T0029,1.6324583333333331,-85.68957551732761,-84.27977551732761,20.14,85.68957551732761,84.27977551732761,-20.14,1.0,0.07,84.27977551732761,0.0
T0030,1.6324583333333331,-85.68957551732761,-85.38227551732761,4.389999999999999,85.68957551732761,85.38227551732761,-4.389999999999999,1.0,0.07,85.38227551732761,0.0
T0031,1.6324583333333331,-85.68957551732761,-85.83377551732761,-2.06,85.68957551732761,85.83377551732761,2.06,1.0,0.07,85.83377551732761,0.0
T0032,1.6324583333333331,-85.68957551732761,-88.3096755173276,-37.43,85.68957551732761,88.3096755173276,37.43,1.0,0.07,88.3096755173276,0.0
T0033,1.6324583333333331,-85.68957551732761,-89.05377551732761,-48.06,85.68957551732761,89.05377551732761,48.06,1.0,0.07,89.05377551732761,0.0
T0034,1.6324583333333331,-85.68957551732761,-89.24137551732761,-50.74,85.68957551732761,89.24137551732761,50.74,1.0,0.07,89.24137551732761,0.0
T0035,1.6324583333333331,-85.68957551732761,-89.05727551732761,-48.11,85.68957551732761,89.05727551732761,48.11,1.0,0.07,89.05727551732761,0.0
T0036,1.6324583333333331,-85.68957551732761,-89.09577551732761,-48.66,85.68957551732761,89.09577551732761,48.66,1.0,0.07,89.09577551732761,0.0
T0037,1.6324583333333331,-85.68957551732761,-89.18537551732761,-49.94,85.68957551732761,89.18537551732761,49.94,1.0,0.07,89.18537551732761,0.0
T0038,1.6324583333333331,-85.68957551732761,-89.05727551732761,-48.11000000000001,85.68957551732761,89.05727551732761,48.11000000000001,1.0,0.07,89.05727551732761,0.0
T0039,1.6324583333333331,-85.68957551732761,-89.16437551732761,-49.64,85.68957551732761,89.16437551732761,49.64,1.0,0.07,89.16437551732761,0.0
T0040,1.6324583333333331,-85.68957551732761,-89.44647551732761,-53.67,85.68957551732761,89.44647551732761,53.67,1.0,0.07,89.44647551732761,0.0
