t,comp_out,dual_CO2_Liq,dual_CO2_Comp,dual_Electricity,p_CO2_Liq,p_CO2_Comp,p_Electricity,alpha_CO2_Liq_per_CO2_Comp,alpha_Electricity_per_CO2_Comp,p_CO2_Comp_pred,pred_error
T0001,1.6324583333333331,-8.78992,-10.77232,-28.32,8.78992,10.77232,28.32,1.0,0.07,10.77232,0.0
T0002,1.6324583333333331,-8.78992,-9.49482,-10.07,8.78992,9.49482,10.07,1.0,0.07,9.49482,0.0
T0003,1.6324583333333331,-8.78992,-8.93412,-2.06,8.78992,8.93412,2.06,1.0,0.07,8.93412,0.0
T0004,1.6324583333333331,-8.78992,-8.93412,-2.06,8.78992,8.93412,2.06,1.0,0.07,8.93412,0.0
T0005,1.6324583333333331,-8.78992,-8.93412,-2.06,8.78992,8.93412,2.06,1.0,0.07,8.93412,0.0
T0006,1.6324583333333331,-8.78992,-8.84942,-0.8499999999999996,8.78992,8.84942,0.8499999999999996,1.0,0.07,8.84942,0.0
T0007,1.6324583333333331,-8.78992,-8.52042,3.8499999999999996,8.78992,8.52042,-3.8499999999999996,1.0,0.07,8.52042,0.0
T0008,1.6324583333333331,-8.78992,-8.673020000000001,1.67,8.78992,8.673020000000001,-1.67,1.0,0.07,8.673020000000001,0.0
T0009,1.6324583333333331,-8.78992,-8.93412,-2.06,8.78992,8.93412,2.06,1.0,0.07,8.93412,0.0
T0010,1.6324583333333331,-8.78992,-8.93412,-2.06,8.78992,8.93412,2.06,1.0,0.07,8.93412,0.0
T0011,1.6324583333333331,-8.78992,-8.93412,-2.06,8.78992,8.93412,2.06,1.0,0.07,8.93412,0.0
T0012,1.6324583333333331,-8.78992,-8.93412,-2.06,8.78992,8.93412,2.06,1.0,0.07,8.93412,0.0
T0013,1.6324583333333331,-8.78992,-8.93412,-2.06,8.78992,8.93412,2.06,1.0,0.07,8.93412,0.0
T0014,1.6324583333333331,-8.78992,-8.93412,-2.06,8.78992,8.93412,2.06,1.0,0.07,8.93412,0.0
T0015,1.6324583333333331,-8.78992,-8.93412,-2.06,8.78992,8.93412,2.06,1.0,0.07,8.93412,0.0
T0016,1.6324583333333331,-8.78992,-8.93412,-2.06,8.78992,8.93412,2.06,1.0,0.07,8.93412,0.0
T0017,1.6324583333333331,-8.78992,-8.93412,-2.06,8.78992,8.93412,2.06,1.0,0.07,8.93412,0.0
T0018,1.6324583333333331,-8.78992,-9.42412,-9.06,8.78992,9.42412,9.06,1.0,0.07,9.42412,0.0
T0019,1.6324583333333331,-8.78992,-8.93412,-2.06,8.78992,8.93412,2.06,1.0,0.07,8.93412,0.0
T0020,1.6324583333333331,-8.78992,-8.93412,-2.06,8.78992,8.93412,2.06,1.0,0.07,8.93412,0.0
T0021,1.6324583333333331,-8.78992,-8.93412,-2.06,8.78992,8.93412,2.06,1.0,0.07,8.93412,0.0
T0022,1.6324583333333331,-8.78992,-8.60722,2.610000000000001,8.78992,8.60722,-2.610000000000001,1.0,0.07,8.60722,0.0
T0023,1.6324583333333331,-8.78992,-8.93412,-2.06,8.78992,8.93412,2.06,1.0,0.07,8.93412,0.0
T0024,1.6324583333333331,-8.78992,-7.702820000000001,15.53,8.78992,7.702820000000001,-15.53,1.0,0.07,7.702820000000001,0.0
T0025,1.6324583333333331,-8.78992,-7.37802,20.17,8.78992,7.37802,-20.17,1.0,0.07,7.37802,0.0
T0026,1.6324583333333331,-8.78992,-6.51352,32.52,8.78992,6.51352,-32.52,1.0,0.07,6.51352,0.0
T0027,1.6324583333333331,-8.78992,-6.34762,34.89,8.78992,6.34762,-34.89,1.0,0.07,6.34762,0.0
T0028,1.6324583333333331,-8.78992,-7.37592,20.200000000000003,8.78992,7.37592,-20.200000000000003,1.0,0.07,7.37592,0.0
T0029,1.6324583333333331,-8.78992,-7.38012,20.14,8.78992,7.38012,-20.14,1.0,0.07,7.38012,0.0
T0030,1.6324583333333331,-8.78992,-8.48262,4.389999999999999,8.78992,8.48262,-4.389999999999999,1.0,0.07,8.48262,0.0
