t,comp_out,dual_CO2_Liq,dual_CO2_Comp,dual_Electricity,p_CO2_Liq,p_CO2_Comp,p_Electricity,alpha_CO2_Liq_per_CO2_Comp,alpha_Electricity_per_CO2_Comp,p_CO2_Comp_pred,pred_error
T0001,1.6324583333333331,-88.40502829564268,-90.38742829564268,-28.32,88.40502829564268,90.38742829564268,28.32,1.0,0.07,90.38742829564268,0.0
T0002,1.6324583333333331,-88.40502829564268,-89.10992829564267,-10.07,88.40502829564268,89.10992829564267,10.07,1.0,0.07,89.10992829564267,0.0
T0003,1.6324583333333331,-88.40502829564268,-88.54922829564268,-2.06,88.40502829564268,88.54922829564268,2.06,1.0,0.07,88.54922829564268,0.0
T0004,1.6324583333333331,-88.40502829564268,-88.54922829564268,-2.06,88.40502829564268,88.54922829564268,2.06,1.0,0.07,88.54922829564268,0.0
T0005,1.6324583333333331,-88.40502829564268,-88.54922829564268,-2.06,88.40502829564268,88.54922829564268,2.06,1.0,0.07,88.54922829564268,0.0
T0006,1.6324583333333331,-88.40502829564268,-88.46452829564268,-0.8499999999999996,88.40502829564268,88.46452829564268,0.8499999999999996,1.0,0.07,88.46452829564268,0.0
T0007,1.6324583333333331,-88.40502829564268,-88.13552829564269,3.8499999999999996,88.40502829564268,88.13552829564269,-3.8499999999999996,1.0,0.07,88.13552829564269,0.0
T0008,1.6324583333333331,-88.40502829564268,-88.28812829564268,1.67,88.40502829564268,88.28812829564268,-1.67,1.0,0.07,88.28812829564268,0.0
T0009,1.6324583333333331,-88.40502829564268,-88.54922829564268,-2.06,88.40502829564268,88.54922829564268,2.06,1.0,0.07,88.54922829564268,0.0
T0010,1.6324583333333331,-88.40502829564268,-88.54922829564268,-2.06,88.40502829564268,88.54922829564268,2.06,1.0,0.07,88.54922829564268,0.0
T0011,1.6324583333333331,-88.40502829564268,-88.54922829564268,-2.06,88.40502829564268,88.54922829564268,2.06,1.0,0.07,88.54922829564268,0.0
T0012,1.6324583333333331,-88.40502829564268,-88.54922829564268,-2.06,88.40502829564268,88.54922829564268,2.06,1.0,0.07,88.54922829564268,0.0
T0013,1.6324583333333331,-88.40502829564268,-88.54922829564268,-2.06,88.40502829564268,88.54922829564268,2.06,1.0,0.07,88.54922829564268,0.0
T0014,1.6324583333333331,-88.40502829564268,-88.54922829564268,-2.06,88.40502829564268,88.54922829564268,2.06,1.0,0.07,88.54922829564268,0.0
T0015,1.6324583333333331,-88.40502829564268,-88.54922829564268,-2.06,88.40502829564268,88.54922829564268,2.06,1.0,0.07,88.54922829564268,0.0
T0016,1.6324583333333331,-88.40502829564268,-88.54922829564268,-2.06,88.40502829564268,88.54922829564268,2.06,1.0,0.07,88.54922829564268,0.0
