t,comp_out,dual_CO2_Liq,dual_CO2_Comp,dual_Electricity,p_CO2_Liq,p_CO2_Comp,p_Electricity,alpha_CO2_Liq_per_CO2_Comp,alpha_Electricity_per_CO2_Comp,p_CO2_Comp_pred,pred_error
T0001,1.6324583333333331,-85.72821346487137,-87.71061346487137,-28.32,85.72821346487137,87.71061346487137,28.32,1.0,0.07,87.71061346487137,0.0
T0002,1.6324583333333331,-85.72821346487137,-86.43311346487137,-10.07,85.72821346487137,86.43311346487137,10.07,1.0,0.07,86.43311346487137,0.0
T0003,1.6324583333333331,-85.72821346487137,-85.87241346487137,-2.06,85.72821346487137,85.87241346487137,2.06,1.0,0.07,85.87241346487137,0.0
T0004,1.6324583333333331,-85.72821346487137,-85.87241346487137,-2.06,85.72821346487137,85.87241346487137,2.06,1.0,0.07,85.87241346487137,0.0
T0005,1.6324583333333331,-85.72821346487137,-85.87241346487137,-2.06,85.72821346487137,85.87241346487137,2.06,1.0,0.07,85.87241346487137,0.0
T0006,1.6324583333333331,-85.72821346487137,-85.78771346487137,-0.8499999999999996,85.72821346487137,85.78771346487137,0.8499999999999996,1.0,0.07,85.78771346487137,0.0
T0007,1.6324583333333331,-85.72821346487137,-85.45871346487138,3.8499999999999996,85.72821346487137,85.45871346487138,-3.8499999999999996,1.0,0.07,85.45871346487138,0.0
T0008,1.6324583333333331,-85.72821346487137,-85.61131346487137,1.67,85.72821346487137,85.61131346487137,-1.67,1.0,0.07,85.61131346487137,0.0
T0009,1.6324583333333331,-85.72821346487137,-85.87241346487137,-2.06,85.72821346487137,85.87241346487137,2.06,1.0,0.07,85.87241346487137,0.0
T0010,1.6324583333333331,-85.72821346487137,-85.87241346487137,-2.06,85.72821346487137,85.87241346487137,2.06,1.0,0.07,85.87241346487137,0.0
T0011,1.6324583333333331,-85.72821346487137,-85.87241346487137,-2.06,85.72821346487137,85.87241346487137,2.06,1.0,0.07,85.87241346487137,0.0
T0012,1.6324583333333331,-85.72821346487137,-85.87241346487137,-2.06,85.72821346487137,85.87241346487137,2.06,1.0,0.07,85.87241346487137,0.0
T0013,1.6324583333333331,-85.72821346487137,-85.87241346487137,-2.06,85.72821346487137,85.87241346487137,2.06,1.0,0.07,85.87241346487137,0.0
T0014,1.6324583333333331,-85.72821346487137,-85.87241346487137,-2.06,85.72821346487137,85.87241346487137,2.06,1.0,0.07,85.87241346487137,0.0
T0015,1.6324583333333331,-85.72821346487137,-85.87241346487137,-2.06,85.72821346487137,85.87241346487137,2.06,1.0,0.07,85.87241346487137,0.0
T0016,1.6324583333333331,-85.72821346487137,-85.87241346487137,-2.06,85.72821346487137,85.87241346487137,2.06,1.0,0.07,85.87241346487137,0.0
