t,comp_out,dual_CO2_Liq,dual_CO2_Comp,dual_Electricity,p_CO2_Liq,p_CO2_Comp,p_Electricity,alpha_CO2_Liq_per_CO2_Comp,alpha_Electricity_per_CO2_Comp,p_CO2_Comp_pred,pred_error
T0001,1.6324583333333331,-75.64671048006713,-77.62911048006713,-28.32,75.64671048006713,77.62911048006713,28.32,1.0,0.07,77.62911048006713,0.0
T0002,1.6324583333333331,-69.09155000331454,-69.79645000331453,-10.07,69.09155000331454,69.79645000331453,10.07,1.0,0.07,69.79645000331453,0.0
T0003,1.6324583333333331,-66.21446313105216,-66.35866313105215,-2.06,66.21446313105216,66.35866313105215,2.06,1.0,0.07,66.35866313105215,0.0
T0004,1.6324583333333331,-66.21446313105216,-66.35866313105215,-2.06,66.21446313105216,66.35866313105215,2.06,1.0,0.07,66.35866313105215,0.0
T0005,1.6324583333333331,-66.21446313105216,-66.35866313105215,-2.06,66.21446313105216,66.35866313105215,2.06,1.0,0.07,66.35866313105215,0.0
T0006,1.6324583333333331,-65.7798470117716,-65.8393470117716,-0.8499999999999996,65.7798470117716,65.8393470117716,0.8499999999999996,1.0,0.07,65.8393470117716,0.0
T0007,1.6324583333333331,-64.09166869721065,-63.82216869721065,3.8499999999999996,64.09166869721065,63.82216869721065,-3.8499999999999996,1.0,0.07,63.82216869721065,0.0
T0008,1.6324583333333331,-64.87469608566656,-64.75779608566656,1.67,64.87469608566656,64.75779608566656,-1.67,1.0,0.07,64.75779608566656,0.0
T0009,1.6324583333333331,-66.21446313105216,-66.35866313105215,-2.06,66.21446313105216,66.35866313105215,2.06,1.0,0.07,66.35866313105215,0.0
T0010,1.6324583333333331,-66.21446313105216,-66.35866313105215,-2.06,66.21446313105216,66.35866313105215,2.06,1.0,0.07,66.35866313105215,0.0
T0011,1.6324583333333331,-66.21446313105216,-66.35866313105215,-2.06,66.21446313105216,66.35866313105215,2.06,1.0,0.07,66.35866313105215,0.0
T0012,1.6324583333333331,-66.21446313105216,-66.35866313105215,-2.06,66.21446313105216,66.35866313105215,2.06,1.0,0.07,66.35866313105215,0.0
T0013,1.6324583333333331,-66.21446313105216,-66.35866313105215,-2.06,66.21446313105216,66.35866313105215,2.06,1.0,0.07,66.35866313105215,0.0
T0014,1.6324583333333331,-66.21446313105216,-66.35866313105215,-2.06,66.21446313105216,66.35866313105215,2.06,1.0,0.07,66.35866313105215,0.0
T0015,1.6324583333333331,-66.21446313105216,-66.35866313105215,-2.06,66.21446313105216,66.35866313105215,2.06,1.0,0.07,66.35866313105215,0.0
T0016,1.6324583333333331,-66.21446313105216,-66.35866313105215,-2.06,66.21446313105216,66.35866313105215,2.06,1.0,0.07,66.35866313105215,0.0
T0017,1.6324583333333331,-66.21446313105216,-66.35866313105215,-2.06,66.21446313105216,66.35866313105215,2.06,1.0,0.07,66.35866313105215,0.0
T0018,1.6324583333333331,-68.72877125912166,-69.36297125912166,-9.06,68.72877125912166,69.36297125912166,9.06,1.0,0.07,69.36297125912166,0.0
T0019,1.6324583333333331,-66.21446313105216,-66.35866313105215,-2.06,66.21446313105216,66.35866313105215,2.06,1.0,0.07,66.35866313105215,0.0
T0020,1.6324583333333331,-66.21446313105216,-66.35866313105215,-2.06,66.21446313105216,66.35866313105215,2.06,1.0,0.07,66.35866313105215,0.0
T0021,1.6324583333333331,-66.21446313105216,-66.35866313105215,-2.06,66.21446313105216,66.35866313105215,2.06,1.0,0.07,66.35866313105215,0.0
T0022,1.6324583333333331,-64.53706042275438,-64.35436042275438,2.610000000000001,64.53706042275438,64.35436042275438,-2.610000000000001,1.0,0.07,64.35436042275438,0.0
T0023,1.6324583333333331,-66.21446313105216,-66.35866313105215,-2.06,66.21446313105216,66.35866313105215,2.06,1.0,0.07,66.35866313105215,0.0
T0024,1.6324583333333331,-59.89636599208898,-58.80926599208898,15.53,59.89636599208898,58.80926599208898,-15.53,1.0,0.07,58.80926599208898,0.0
T0025,1.6324583333333331,-58.22973889005436,-56.817838890054354,20.17,58.22973889005436,56.817838890054354,-20.17,1.0,0.07,56.817838890054354,0.0
T0026,1.6324583333333331,-53.79378097838889,-51.517380978388886,32.52,53.79378097838889,51.517380978388886,-32.52,1.0,0.07,51.517380978388886,0.0
T0027,1.6324583333333331,-52.94250808359965,-50.500208083599645,34.89,52.94250808359965,50.500208083599645,-34.89,1.0,0.07,50.500208083599645,0.0
T0028,1.6324583333333331,-58.21896328379119,-56.80496328379119,20.200000000000003,58.21896328379119,56.80496328379119,-20.200000000000003,1.0,0.07,56.80496328379119,0.0
T0029,1.6324583333333331,-58.24051449631751,-56.83071449631751,20.14,58.24051449631751,56.83071449631751,-20.14,1.0,0.07,56.83071449631751,0.0
